品番,商品名_JA,catalog_pages,catalog_info,catalog_usage,catalog_features,catalog_size_material,catalog_evidence,issue_flags
141-704A,丁番段付座金W(100個入),,丁番段付座金W(100個入) / ネジまわり・丁番・ツーポイント部品の固定補助 / ガタつきや部品の当たりを抑え、動きを整えやすい / ネジまわりや丁番、ツーポイント部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / 入数: 100個,ネジまわり・丁番・ツーポイント部品の固定補助,ガタつきや部品の当たりを抑え、動きを整えやすい / ネジまわりや丁番、ツーポイント部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。,入数: 100個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
141-704B,丁番段付座金W(300個入),,丁番段付座金W(300個入) / ネジまわり・丁番・ツーポイント部品の固定補助 / ガタつきや部品の当たりを抑え、動きを整えやすい / ネジまわりや丁番、ツーポイント部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / 入数: 300個,ネジまわり・丁番・ツーポイント部品の固定補助,ガタつきや部品の当たりを抑え、動きを整えやすい / ネジまわりや丁番、ツーポイント部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。,入数: 300個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
141-704C,丁番段付座金W(1000個入),,丁番段付座金W(1000個入) / ネジまわり・丁番・ツーポイント部品の固定補助 / ガタつきや部品の当たりを抑え、動きを整えやすい / ネジまわりや丁番、ツーポイント部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / 入数: 1000個,ネジまわり・丁番・ツーポイント部品の固定補助,ガタつきや部品の当たりを抑え、動きを整えやすい / ネジまわりや丁番、ツーポイント部品の固定を補助するワッシャです。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。,入数: 1000個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
141-705,粘着付ソフト溝セル(極細),"カタログP.59,265",粘着付ソフト溝セル(極細) / ツーポイント・リムレス加工 / 小さな部品を安定させ、仕上がりのガタつきを抑えやすい / ツーポイントやリムレスフレームの加工・補修に使う部品です。小さな部品を安定させ、仕上がりのガタつきやズレを抑えやすくします。 / No.141-141-2 太 0.30 1.4 240N299 （極細） No.141-705 粘着付ソフト溝セル ソフトなウレタン素材の両面粘着シール。 レンズのガタツキの固定、 歪みに敏感なレンズの固定、緩衝材としてご使用になれます。 ツーポイント 部 品 2シート入（1シート36 枚） 幅 3×長さ50×厚み 0.2㎜ 単位㎜ Lens Liner ジ... / 幅 3×長さ50×厚み 0.2㎜ 単位㎜ Lens Liner ジ Lens Liner / 幅 3×長さ50×厚み 0.2㎜ ②紙テープをはがす 伸長性があるので、両面のはくり紙をはがして伸ばして頂くと、 NO.141-141 溝セル用両面テープとしても / 本入り 240N299 （極細） No.141-705 粘着付ソフト溝セル ソフトなウレタン素材の両面粘着シール,ツーポイント・リムレス加工,小さな部品を安定させ、仕上がりのガタつきを抑えやすい / ツーポイントやリムレスフレームの加工・補修に使う部品です。小さな部品を安定させ、仕上がりのガタつきやズレを抑えやすくします。 / No.141-141-2 太 0.30 1.4 240N299 （極細） No.141-705 粘着付ソフト溝セル ソフトなウレタン素材の両面粘着シール。 レンズのガタツキの固定、 歪みに敏感なレンズの固定、緩衝材としてご使用になれます。 ツーポイント 部 品 2シート入（1シート36 枚） 幅 3×長さ50×厚み 0.2㎜ 単位㎜ Lens Liner ジ...,幅 3×長さ50×厚み 0.2㎜ 単位㎜ Lens Liner ジ Lens Liner / 幅 3×長さ50×厚み 0.2㎜ ②紙テープをはがす 伸長性があるので、両面のはくり紙をはがして伸ばして頂くと、 NO.141-141 溝セル用両面テープとしても / 本入り 240N299 （極細） No.141-705 粘着付ソフト溝セル ソフトなウレタン素材の両面粘着シール,"カタログ参照=カタログP.59,265 ; PDF抽出メモ=No.141-141-2 太 0.30 1.4 240N299 （極細） No.141-705 粘着付ソフト溝セル ソフトなウレタン素材の両面粘着シール。 レンズのガタツキの固定、 歪みに敏感なレンズの固定、緩衝材としてご使用になれます。 ツーポイント 部 品 2シート入（1シート36 枚） 幅 3×長さ50×厚み 0.2㎜ 単位㎜ Lens Liner ジ Lens Liner || 2シート入り（1シート36 枚） 幅 3×長さ50×厚み 0.2㎜ ②紙テープをはがす 伸長性があるので、両面のはくり紙をはがして... ; 画像=141-705_1.jpg",printed_pages_normalized
141-706,アングルアジャストパットW 14.5×7,"カタログP.14,15",アングルアジャストパットW 14.5×7 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 箱蝶 アセテート材 極小 G 15×8 穴径1.2mm 箱蝶 アセテート材 極小 W 15×8 穴径1.2mm 1組 1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組 No.141-364 箱蝶 CP 材 極小薄型 14×9 厚み1.2 穴径1.0mm 7組 No.141-554 箱蝶 形状記憶樹脂 G 大 17.5×8.5... / 入数: 4組 / mm 箱蝶 アセテート材 極小 W 15×8 穴径1.2mm 1組 1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組 No.141- / 厚み1.2 穴径1.0mm 7組 No.141-554 箱蝶 形状記憶樹脂 G 大 17.5×8.5 1組 / PVC W 金属 極小 14.5 7 1.2 4組 バネ丁番 関,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 箱蝶 アセテート材 極小 G 15×8 穴径1.2mm 箱蝶 アセテート材 極小 W 15×8 穴径1.2mm 1組 1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組 No.141-364 箱蝶 CP 材 極小薄型 14×9 厚み1.2 穴径1.0mm 7組 No.141-554 箱蝶 形状記憶樹脂 G 大 17.5×8.5...,入数: 4組 / mm 箱蝶 アセテート材 極小 W 15×8 穴径1.2mm 1組 1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組 No.141- / 厚み1.2 穴径1.0mm 7組 No.141-554 箱蝶 形状記憶樹脂 G 大 17.5×8.5 1組 / PVC W 金属 極小 14.5 7 1.2 4組 バネ丁番 関,"カタログ参照=カタログP.14,15 ; PDF抽出メモ=箱蝶 アセテート材 極小 G 15×8 穴径1.2mm 箱蝶 アセテート材 極小 W 15×8 穴径1.2mm 1組 1組 No.141-706 箱蝶 PVC 材 14.5×7 穴径1.2mm 4組 No.141-364 箱蝶 CP 材 極小薄型 14×9 厚み1.2 穴径1.0mm 7組 No.141-554 箱蝶 形状記憶樹脂 G 大 17.5×8.5 1組 || 形状 特徴 長さ （㎜）最大巾（㎜） ネジ穴径 入数 （㎜） No.141-706 PVC W 金属 極小 14.5 7 1.2 4組 バネ丁番 関 ; 画像=141-706_1.jpg",printed_pages_normalized
141-707,チタンメタルパット 12.5×7,"カタログP.16,17",チタンメタルパット 12.5×7 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 素地×ブラック 1組 素地×ブラウン 1組 No.141-707 鼻があたる内側はシリコン、 外側はチタン。 見た目とかけ心地を両立さ せました。 Parts 各種1袋 240N368 No.141-724 箱蝶 チタン材 極小 1... / 入数: 1組 / シリコン材 角型 14×7.7 穴径1.25mm 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 素地×ブラック 1組 素地×ブラウン 1組 No.14 / シリコン、 外側はチタン,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 素地×ブラック 1組 素地×ブラウン 1組 No.141-707 鼻があたる内側はシリコン、 外側はチタン。 見た目とかけ心地を両立さ せました。 Parts 各種1袋 240N368 No.141-724 箱蝶 チタン材 極小 1...,入数: 1組 / シリコン材 角型 14×7.7 穴径1.25mm 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 素地×ブラック 1組 素地×ブラウン 1組 No.14 / シリコン、 外側はチタン,"カタログ参照=カタログP.16,17 ; PDF抽出メモ=箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 箱蝶 チタン・シリコン材 角型 14×7.7 穴径1.25mm 素地×ブラック 1組 素地×ブラウン 1組 No.141-707 鼻があたる内側はシリコン、 外側はチタン。 見た目とかけ心地を両立さ せました。 Parts 各種1袋 240N368 No.141-724 箱蝶 チタン材 極小 12.5×7 箱蝶 チタン材 極小 13.5×8 1組 フィット性を増す球面設計。 || 人気の販売用パーツシリーズに 新デザインのパッケージ 『Dシリーズ』が登... ; 画像=141-707_1.jpg",printed_pages_normalized
141-708,鼻盛パット 左右対称(中) 16×7.5,"カタログP.28,29",鼻盛パット 左右対称(中) 16×7.5 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 入数: 1組,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。,入数: 1組,"カタログ参照=カタログP.28,29 ; PDF抽出メモ=中 19 7 5 2組 No.141-708 左右対称 中 16 7.5 4 1組 No.141-709 左右対称 小 14 || 売 工 具 No.141- 428 No.141- 427 No.141-708 計測器 視力測定 加 工 加工備品 消 耗 品 ショップ アイテム No.141-709 No.141-710 No.141-711 POP ; 画像=141-708_1.jpg",printed_pages_normalized
141-709,鼻盛パット 左右対称(小) 14×7,"カタログP.28,29,30",鼻盛パット 左右対称(小) 14×7 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 入数: 1組,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。,入数: 1組,"カタログ参照=カタログP.28,29,30 ; PDF抽出メモ=中 16 7.5 4 1組 No.141-709 左右対称 小 14 7 4 1組 No.141-710 高さ重視用 13.5 9 || 視力測定 加 工 加工備品 消 耗 品 ショップ アイテム No.141-709 No.141-710 No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 || エッシェン バッハ ● シミュレーションキット ● No.141-709 鼻盛パッド 30組 ● No... ; 画像=141-709_1.jpg",printed_pages_normalized
141-710,鼻盛パット 高さ重視用 13.5×9,"カタログP.28,29,30",鼻盛パット 高さ重視用 13.5×9 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 入数: 1組,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。,入数: 1組,"カタログ参照=カタログP.28,29,30 ; PDF抽出メモ=小 14 7 4 1組 No.141-710 高さ重視用 13.5 9 4 1組 No.141-711 太リム用 18.5 8.5 || 工 加工備品 消 耗 品 ショップ アイテム No.141-709 No.141-710 No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 || ● No.141-709 鼻盛パッド 30組 ● No.141-710 鼻盛パッド 30組 鼻... ; 画像=141-710_1.jpg",printed_pages_normalized
141-711,鼻盛パット 太リム用 18.5×8.5,"カタログP.28,29,30",鼻盛パット 太リム用 18.5×8.5 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 高さ重視用 13.5 9 4 1組 No.141-711 太リム用 18.5 8.5 4.5 1組 No.141-712 細長型 18.5 7 || 加工備品 消 耗 品 ショップ アイテム No.141-709 No.141-710 No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-74... / 入数: 1組,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 高さ重視用 13.5 9 4 1組 No.141-711 太リム用 18.5 8.5 4.5 1組 No.141-712 細長型 18.5 7 || 加工備品 消 耗 品 ショップ アイテム No.141-709 No.141-710 No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-74...,入数: 1組,"カタログ参照=カタログP.28,29,30 ; PDF抽出メモ=高さ重視用 13.5 9 4 1組 No.141-711 太リム用 18.5 8.5 4.5 1組 No.141-712 細長型 18.5 7 || 加工備品 消 耗 品 ショップ アイテム No.141-709 No.141-710 No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス || ● ● 鼻盛シミュレーション セット ※薄くカットしています。 （シミュレー... ; 画像=141-711_1.jpg",printed_pages_normalized
141-712,鼻盛パット 細長型 18.5×7,"カタログP.28,29,30",鼻盛パット 細長型 18.5×7 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 入数: 1組 / シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット No.141-758,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。,入数: 1組 / シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット No.141-758,"カタログ参照=カタログP.28,29,30 ; PDF抽出メモ=太リム用 18.5 8.5 4.5 1組 No.141-712 細長型 18.5 7 4 1組 万能型 17 7 4 || バッハ No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス パック No.141-757 シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット No.141-758 || No.141-710 鼻盛パッド 30組 鼻盛パッド 30組 No.141-712 鼻盛パッド 30組 ● ●... ; 画像=141-712_1.jpg",printed_pages_normalized
141-713,鼻盛パット 万能型 17×7,"カタログP.28,29",鼻盛パット 万能型 17×7 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 連 ケース ナイロール ・溝セル 関 連 モダン 28 No.141-713 （No.688）加工セットは詳しくは P231 参照 ア セテート パ ット セ ット パーツ 鼻 盛 パ ッド（ 載 せ タ イ プ ） カスタマイズ 鼻盛パッド(載せタイプ)装着例 販 || No.141-711 POP ラッピング エッシェン バッハ No.141-715 N... / 入数: 1組 / シリコン パ ット ハ ード パ ット パ ット,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 連 ケース ナイロール ・溝セル 関 連 モダン 28 No.141-713 （No.688）加工セットは詳しくは P231 参照 ア セテート パ ット セ ット パーツ 鼻 盛 パ ッド（ 載 せ タ イ プ ） カスタマイズ 鼻盛パッド(載せタイプ)装着例 販 || No.141-711 POP ラッピング エッシェン バッハ No.141-715 N...,入数: 1組 / シリコン パ ット ハ ード パ ット パ ット,"カタログ参照=カタログP.28,29 ; PDF抽出メモ=連 ケース ナイロール ・溝セル 関 連 モダン 28 No.141-713 （No.688）加工セットは詳しくは P231 参照 ア セテート パ ット セ ット パーツ 鼻 盛 パ ッド（ 載 せ タ イ プ ） カスタマイズ 鼻盛パッド(載せタイプ)装着例 販 || No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス パック No.141-757 シリコン パ... ; 画像=141-713_1.jpg",printed_pages_normalized
141-714,鼻盛パット 小型(薄) 13×6.5,"カタログP.28,29",鼻盛パット 小型(薄) 13×6.5 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 万能型 17 7 4 1組 No.141-714 小型 薄 13 6.5 4 1組 No.141-715 小型 厚 15 || No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス パック No.141-757 シリコン パ ット ハ ード パ ット パ ット セ ット 鼻... / 入数: 1組 / シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット No.141-758 加工には鼻盛セット （載せタイプ）,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 万能型 17 7 4 1組 No.141-714 小型 薄 13 6.5 4 1組 No.141-715 小型 厚 15 || No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス パック No.141-757 シリコン パ ット ハ ード パ ット パ ット セ ット 鼻...,入数: 1組 / シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット No.141-758 加工には鼻盛セット （載せタイプ）,"カタログ参照=カタログP.28,29 ; PDF抽出メモ=万能型 17 7 4 1組 No.141-714 小型 薄 13 6.5 4 1組 No.141-715 小型 厚 15 || No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス パック No.141-757 シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット No.141-758 加工には鼻盛セット （載せタイプ） ; 画像=141-714_1.jpg",printed_pages_normalized
141-715,鼻盛パット 小型(厚) 15×6,"カタログP.28,29",鼻盛パット 小型(厚) 15×6 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 入数: 1組 / シリコン パ ット ハ ード,鼻パッド,掛け心地を整えやすい / 鼻パッドに使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。,入数: 1組 / シリコン パ ット ハ ード,"カタログ参照=カタログP.28,29 ; PDF抽出メモ=薄 13 6.5 4 1組 No.141-715 小型 厚 15 6 4 1組 No.141-741 マッシュ型 14〜8 8.5 || No.141-710 No.141-711 POP ラッピング エッシェン バッハ No.141-715 No.141-713 No.141-741 鼻盛パッド（載せ） No.141-712 No.141-714 サービス パック No.141-757 シリコン パ ット ハ ード ; 画像=141-715_1.jpg",printed_pages_normalized
141-722,シリコンツインパット14×9,"カタログP.6,7",シリコンツインパット14×9 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 2ヶ / シリコン ツイン G 小 13×7 穴径1.2mm No.141-613 箱蝶 シリコン ツイン W 小 13×7 穴径1.2mm No.141-722 箱蝶 シリコン / mm No.141-723 箱蝶 シリコン ツイン 小13×7 穴径1.2mm 箱蝶 シリコン ツイン 14×9 穴径1.0mm ケース ナイロール ・溝セル 関 / 金属 No.141-613 極小 長さ（㎜） シリコン No.141-475 極小 7 7,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。,入数: 2ヶ / シリコン ツイン G 小 13×7 穴径1.2mm No.141-613 箱蝶 シリコン ツイン W 小 13×7 穴径1.2mm No.141-722 箱蝶 シリコン / mm No.141-723 箱蝶 シリコン ツイン 小13×7 穴径1.2mm 箱蝶 シリコン ツイン 14×9 穴径1.0mm ケース ナイロール ・溝セル 関 / 金属 No.141-613 極小 長さ（㎜） シリコン No.141-475 極小 7 7,"カタログ参照=カタログP.6,7 ; PDF抽出メモ=箱蝶 シリコン ツイン G 小 13×7 穴径1.2mm No.141-613 箱蝶 シリコン ツイン W 小 13×7 穴径1.2mm No.141-722 箱蝶 シリコン ツイン 10×7 穴径1.2mm No.141-723 箱蝶 シリコン ツイン 小13×7 穴径1.2mm 箱蝶 シリコン ツイン 14×9 穴径1.0mm ケース ナイロール ・溝セル 関 連 モダン || 13 ツイン No.141-723 極小 プラ No.141-722 極小 金属 No.141-613 極小 長さ（㎜） シリコン N... ; 画像=141-722_1.jpg",printed_pages_normalized
141-723,シリコンツインパット13×7,"カタログP.6,7",シリコンツインパット13×7 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 2ヶ / シリコン ツイン W 小 13×7 穴径1.2mm No.141-722 箱蝶 シリコン ツイン 10×7 穴径1.2mm No.141-723 箱蝶 シリコン ツイン / mm 箱蝶 シリコン ツイン 14×9 穴径1.0mm ケース ナイロール ・溝セル 関 連 モダン 6 240N368 / 金属 No.141-613 極小 長さ（㎜） シリコン,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。,入数: 2ヶ / シリコン ツイン W 小 13×7 穴径1.2mm No.141-722 箱蝶 シリコン ツイン 10×7 穴径1.2mm No.141-723 箱蝶 シリコン ツイン / mm 箱蝶 シリコン ツイン 14×9 穴径1.0mm ケース ナイロール ・溝セル 関 連 モダン 6 240N368 / 金属 No.141-613 極小 長さ（㎜） シリコン,"カタログ参照=カタログP.6,7 ; PDF抽出メモ=箱蝶 シリコン ツイン W 小 13×7 穴径1.2mm No.141-722 箱蝶 シリコン ツイン 10×7 穴径1.2mm No.141-723 箱蝶 シリコン ツイン 小13×7 穴径1.2mm 箱蝶 シリコン ツイン 14×9 穴径1.0mm ケース ナイロール ・溝セル 関 連 モダン 6 240N368 || 15 13 13 10 14 13 ツイン No.141-723 極小 プラ No.141-722 極小 金属 No.141-613 極小 長さ（㎜） シリコン ; 画像=141-723_1.jpg",printed_pages_normalized
141-724,チタンメタルパット 13.5×8,"カタログP.16,17",チタンメタルパット 13.5×8 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / No.141-707 鼻があたる内側はシリコン、 外側はチタン。 見た目とかけ心地を両立さ せました。 Parts 各種1袋 240N368 No.141-724 箱蝶 チタン材 極小 12.5×7 箱蝶 チタン材 極小 13.5×8 1組 フィット性を増す球面設計。 多彩なフレームカラーにマッチする鏡面仕様。 1組 Parts 各種1袋 240N437 ナ... / 入数: 1組 / シリコン、 外側はチタン / シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット ネ ナノセラミックパッド 品 番 カラー,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / No.141-707 鼻があたる内側はシリコン、 外側はチタン。 見た目とかけ心地を両立さ せました。 Parts 各種1袋 240N368 No.141-724 箱蝶 チタン材 極小 12.5×7 箱蝶 チタン材 極小 13.5×8 1組 フィット性を増す球面設計。 多彩なフレームカラーにマッチする鏡面仕様。 1組 Parts 各種1袋 240N437 ナ...,入数: 1組 / シリコン、 外側はチタン / シリコン パ ット ハ ード パ ット パ ット セ ット 鼻 盛 パ ット ネ ナノセラミックパッド 品 番 カラー,"カタログ参照=カタログP.16,17 ; PDF抽出メモ=No.141-707 鼻があたる内側はシリコン、 外側はチタン。 見た目とかけ心地を両立さ せました。 Parts 各種1袋 240N368 No.141-724 箱蝶 チタン材 極小 12.5×7 箱蝶 チタン材 極小 13.5×8 1組 フィット性を増す球面設計。 多彩なフレームカラーにマッチする鏡面仕様。 1組 Parts 各種1袋 240N437 ナノセラミックパッド 軽量かつ安全性に優れ、高い耐久性がある酸化ジルコニウム （セラミック）製パット || 人気の販売用パーツシリーズに 新デザインのパッケージ... ; 画像=141-724_1.jpg",printed_pages_normalized
141-725,箱蝶シリコン極小G 14.5×7,"カタログP.6,7",箱蝶シリコン極小G 14.5×7 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 2組 / シリコン 極小 G （抗菌仕様）13×7.5 穴径1.2㎜ No.141-597 No.141-637 No.141-725 箱蝶 シリコン G 極小 14.5×7 穴 / mm 2組 No.141-777 2組 No.141-751 No.141-788 パ ット セ ット 2組 / シリコン No.141-736 No.141-725 No.141-726 No.141-313 No.83-101 No.83-102 No.141-776 No.1 / シリコン （抗菌） No.141-663 No.141-788,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。,入数: 2組 / シリコン 極小 G （抗菌仕様）13×7.5 穴径1.2㎜ No.141-597 No.141-637 No.141-725 箱蝶 シリコン G 極小 14.5×7 穴 / mm 2組 No.141-777 2組 No.141-751 No.141-788 パ ット セ ット 2組 / シリコン No.141-736 No.141-725 No.141-726 No.141-313 No.83-101 No.83-102 No.141-776 No.1 / シリコン （抗菌） No.141-663 No.141-788,"カタログ参照=カタログP.6,7 ; PDF抽出メモ=箱蝶 シリコン 極小 G （抗菌仕様）13×7.5 穴径1.2㎜ No.141-597 No.141-637 No.141-725 箱蝶 シリコン G 極小 14.5×7 穴径1.2mm 2組 No.141-777 2組 No.141-751 No.141-788 パ ット セ ット 2組 || No.141-480 No.141-481 No.141-737 No.141-369 No.141-370 シリコン No.141-736 No.141-725 No.141-726 No.141-313 No.83-1... ; 画像=141-725_1.jpg",printed_pages_normalized
141-725A,箱蝶シリコン極小G(100組入),,箱蝶シリコン極小G(100組入) / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 100組,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。,入数: 100組,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
141-725B,箱蝶シリコン極小G(300組入),,箱蝶シリコン極小G(300組入) / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 入数: 300組,箱蝶パッド調整,角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。,入数: 300組,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
